Generic Name,RXCUI,Therapeutic Class
"((4-hydroxybutyl)azanediyl)bis(hexane-6,1-diyl)bis(2-hexyldecanoate)",2599921,Amino Alcohols
"((4-hydroxybutyl)azanediyl)bis(hexane-6,1-diyl)bis(2-hexyldecanoate)",2599921,Decanoates
(2-naphthyloxy)acetic acid,2685740,Glycolates
"(all-Z)-4,7,10,13,16-docosapentaenoic acid",1360626,"Fatty Acids, Unsaturated"
(phthalocyaninato(2-)) copper,1424646,Indoles
".alpha.,.beta.-methylene adenosine 5'-diphosphate",2552302,Adenosine Diphosphate
".alpha.-chlorohydrin, (+/-)-",2396781,alpha-Chlorohydrin
.alpha.-phellandrene,2530131,Cyclohexane Monoterpenes
.alpha.-terpinene,2542349,Cyclohexane Monoterpenes
.beta.-carophyllene alcohol,2590728,Polycyclic Sesquiterpenes
.beta.-caryophyllene oxide,2395801,Polycyclic Sesquiterpenes
.beta.-eudesmol,2562544,"Sesquiterpenes, Eudesmane"
.beta.-glucogallin,2595941,Hydrolyzable Tannins
.beta.-ionone,2371702,Norisoprenoids
.delta.-tocopherol,2109747,Vitamin E and/or vitamin E derivative-containing product
.delta.-tocopherol,2109747,Tocopherols
.gamma.-tocopherol,2368126,Vitamin E and/or vitamin E derivative-containing product
.gamma.-tocopherol,2368126,gamma-Tocopherol
"1,1-difluoroethane",1305515,"Hydrocarbons, Fluorinated"
"1,10-decanediol",1309235,Fatty Alcohols
"1,2,4-trihydroxybenzene",2107302,Hydroquinones
"1,2,6-hexanetriol",1362577,Fatty Alcohols
"1,2-benzisothiazoline-3-one",1368198,Sulfur and/or sulfur compound-containing product
"1,2-benzisothiazoline-3-one",1368198,Thiazoles
"1,2-dibromo-3-chloropropane",1367191,Propane
"1,2-dimyristoyl-rac-glycero-3-methoxypolyethylene glycol 2000",2473374,Polyethylene Glycols
"1,2-dimyristoyl-sn-glycero-3-(phospho-rac-(1-glycerol))",1424655,Phosphatidylglycerols
"1,2-dioleoyl-sn-glycero-3-phosphocholine",1424656,Phosphatidylcholines
"1,2-dipalmitoylphosphatidylcholine",1926948,"1,2-Dipalmitoylphosphatidylcholine"
"1,2-distearoyllecithin",1426933,Phosphatidylcholines
"1,2-hexanediol",1362584,Glycols
"1,2-hexanediol",1362584,Hexanes
"1,2-naphthoquinone",1661328,Naphthoquinones
"1,2-octanediol",1363571,Octanols
"1,2-propanedithiol",2281674,Propane
"1,2-propanedithiol",2281674,Sulfhydryl Compounds
"1,3,5-triethylbenzene",2475073,Benzene Derivatives
"1,3-benzenedisulfonic acid",2391135,Benzenesulfonates
"1,3-butadiene",2548035,Butadienes
"1,3-butylene glycol",1310542,Butylene Glycols
"1,3-cyclohexadiene",2691092,Cyclohexenes
"1,3-dibromo-5,5-dimethylhydantoin",2368732,Hydantoins
"1,3-dichloro-2-propanol",1305516,alpha-Chlorohydrin
"1,3-dimethylol-5,5-dimethylhydantoin",1310543,Hydantoins
"1,3-dimethylurea",1358483,Methylurea Compounds
"1,3-propanediol",1363030,Propylene Glycols
"1,4-benzoquinone",319868,Benzoquinones
"1,4-diphenyl-1,3-butadiene",1739233,Butadienes
"1,4-naphthoquinone",1602556,Naphthoquinones
"1,5-pentanediol",1362880,Glycols
"1,5-pentanediol",1362880,Pentanes
"1,6-hexamethylene diisocyanate",1428547,Nitrogen and/or nitrogen compound-containing product
"1,6-hexamethylene diisocyanate",1428547,Isocyanates
"1,9-decadiene",1729153,Lipids
"1-(3,5-bis(trifluoromethyl)phenyl)ethanol",2053486,Phenylethyl Alcohol
1-aminocyclopropanol,2645303,Cyclopropanes
1-butene,1362691,Alkenes
1-butyl oleate,1368213,Oleic Acids
1-chloro-2-methyl-1-propene,2469243,Vinyl Chloride
1-chloronaphthalene,2673865,Naphthalenes
1-hexadecene,1313219,Alkenes
1-kestose,2590592,Trisaccharides
1-methyl-2-pyrrolidinone,1305552,Pyrrolidinones
1-methylhydantoin,1729875,Hydantoins
1-myristylpicolinium,1425941,Myristic Acids
1-myristylpicolinium,1425941,Picolines
1-naphthalenesulfonic acid,1442718,Naphthalenesulfonates
1-naphthol,1740233,Naphthols
1-octacosanol,12166,Fatty Alcohols
1-octanesulfonic acid,1592897,Alkanesulfonic Acids
1-octanol,1487826,1-Octanol
1-octen-3-ol,2395763,Octanols
1-octen-3-yl acetate,2395768,Acetates
1-palmitoyl-2-linoleoyl-sn-glycero-3-phosphocholine,2593177,Phosphatidylcholines
1-palmitoyl-2-oleoyl-sn-glycero-3-(phospho-rac-(1-glycerol)),1440971,Phosphatidylglycerols
1-phenylazo-2-naphthylamine,1430252,Azo Compounds
1-phenylethanol,2001176,Benzyl Alcohols
1-propanol,1362872,1-Propanol
1-propanol,1362872,Other antiseptics and disinfectants
1-propoxy-2-propanol,1358844,Propylene Glycols
1-vinyl-2-pyrrolidone,1307764,Pyrrolidinones
10-hydroxydecanoate,1368623,Decanoic Acids
10-hydroxystearic acid,2476630,Stearic Acids
12-(9-anthroyloxy)stearic acid,1922739,Stearic Acids
12-oxooctadecanoic acid,1733689,Stearic Acids
17-alpha-hydroxyprogesterone,5542,Pregnen (4) derivatives
17-alpha-hydroxyprogesterone,5542,"Abortion, Spontaneous"
17-alpha-hydroxyprogesterone,5542,"Abortion, Missed"
17-alpha-hydroxyprogesterone,5542,Adenocarcinoma
17-alpha-hydroxyprogesterone,5542,Amenorrhea
17-alpha-hydroxyprogesterone,5542,Breast Neoplasms
17-alpha-hydroxyprogesterone,5542,Cerebral Hemorrhage
17-alpha-hydroxyprogesterone,5542,Drug Hypersensitivity
17-alpha-hydroxyprogesterone,5542,Endometriosis
17-alpha-hydroxyprogesterone,5542,Hypertension
17-alpha-hydroxyprogesterone,5542,Liver Diseases
17-alpha-hydroxyprogesterone,5542,"Neoplasms, Hormone-Dependent"
17-alpha-hydroxyprogesterone,5542,Pregnancy
17-alpha-hydroxyprogesterone,5542,Thromboembolism
17-alpha-hydroxyprogesterone,5542,Thrombophlebitis
17-alpha-hydroxyprogesterone,5542,Uterine Hemorrhage
17-alpha-hydroxyprogesterone,5542,Uterine Neoplasms
17-alpha-hydroxyprogesterone,5542,"Jaundice, Obstructive"
17-alpha-hydroxyprogesterone,5542,Progestational Hormone Receptor Agonists
17-alpha-hydroxyprogesterone,5542,Decreased Uterine Smooth Muscle Contraction or Tone
17-alpha-hydroxyprogesterone,5542,Gonadotropin Releasing Hormone Alteration
17-alpha-hydroxyprogesterone,5542,Inhibit Ovarian Follicular Phase
17-alpha-hydroxyprogesterone,5542,Inhibit Ovulation
17-alpha-hydroxyprogesterone,5542,Stimulate Breast Glandular Development
17-alpha-hydroxyprogesterone,5542,Stimulate Uterine Secretory Phase
17-alpha-hydroxyprogesterone,5542,17 alpha-Hydroxyprogesterone Caproate
17-alpha-hydroxyprogesterone,5542,Pregnane-containing product
17-alpha-hydroxyprogesterone,5542,Progesterone receptor agonist-containing product
17-alpha-hydroxyprogesterone,5542,17-alpha-Hydroxyprogesterone
17-alpha-hydroxyprogesterone,5542,Progesterone Congeners
17-alpha-hydroxyprogesterone,5542,Progestin
2'-deoxyadenosine,2642189,Deoxyadenosines
2'-deoxyguanosine,2642210,Deoxyguanosine
2'-fucosyllactose,1733688,Trisaccharides
2'-hydroxyacetophenone,1664428,Acetophenones
"2,2'-dithiobisbenzothiazole",1306112,Polymer-containing product
"2,2'-dithiobisbenzothiazole",1306112,Allergens
"2,2'-dithiobisbenzothiazole",1306112,Benzothiazoles
"2,2'-dithiobisbenzothiazole",1306112,Increased Histamine Release
"2,2'-dithiobisbenzothiazole",1306112,Cell-mediated Immunity
"2,2'-dithiobisbenzothiazole",1306112,Standardized Chemical Allergen
"2,2,4,4,6,8,8-heptamethylnonane",1362933,Alkanes
"2,2-bis(4-glycidyloxyphenyl)propane",1368138,Bisphenol A Compounds
"2,2-bis(4-glycidyloxyphenyl)propane",1368138,Allergens
"2,2-bis(4-glycidyloxyphenyl)propane",1368138,Epoxy Compounds
"2,2-bis(4-glycidyloxyphenyl)propane",1368138,Increased Histamine Release
"2,2-bis(4-glycidyloxyphenyl)propane",1368138,Cell-mediated Immunity
"2,2-bis(4-glycidyloxyphenyl)propane",1368138,Standardized Chemical Allergen
"2,2-bis(4-hydroxy-3-tert-butylphenyl)propane",2267021,Adenocarcinoma
"2,3,5,6-tetrafluorophenol",2625644,Fluorobenzenes
"2,3-dichloro-5,6-dicyanobenzoquinone",2288812,Benzoquinones
"2,3-dihydroxybenzoic acid",1727169,Hydroxybenzoates
"2,3-dimercapto-1-propanesulfonic acid",1546352,Unithiol
"2,4-diaminophenoxyethanol",1740235,Phenylenediamines
"2,4-dichlorophenoxyacetate",1371449,"2,4-Dichlorophenoxyacetic Acid"
"2,5-diaminotoluene",1482535,Phenylenediamines
"2,6-dimethyl-5-heptenal",1552361,Aldehydes
2-(2-aminoethoxy)ethanol,1737111,Ethanol
2-(2-aminoethoxy)ethanol,1737111,Ethylamines
2-(N-morpholino)ethanesulfonic acid,2360130,Morpholines
2-(N-morpholino)ethanesulfonic acid,2360130,Alkanesulfonic Acids
2-(perfluorohexyl)ethanol,1986349,Fluorocarbons
2-acrylamido-2-methyl-1-propanesulfonic acid,2109231,Acrylamides
2-acrylamido-2-methyl-1-propanesulfonic acid,2109231,Alkanesulfonates
"2-amino-1,3-propanediol",2467839,Propylene Glycols
"2-amino-1,3-propanediol",2467839,Propanolamines
2-amino-1-butanol,2588247,Amino Alcohols
2-amino-2-methyl-1-propanol,1310544,Propanolamines
2-amino-5-nitrothiazole,1665683,Thiazoles
2-aminophenol,1740241,Aminophenols
2-benzylheptanol,1489294,Benzyl Compounds
2-benzylheptanol,1489294,Heptanes
2-bromo-2-nitroethanol,1648134,Ethanol
2-bromobutane,1922903,"Hydrocarbons, Brominated"
2-butoxyethanol,2385885,Ethylene Glycols
2-carboxyethyl acrylate,2286249,Acrylates
2-deoxyglucose,1733674,Deoxyglucose
2-diethylaminoethanol,1433902,Ethanolamines
2-ethoxyethanol,1314365,Ethylene Glycols
2-ethylhexanoic acid,1305517,Caproates
2-ethylhexanol,2394645,Hexanols
2-ethylhexyl acrylate,1432294,Acrylic acid and/or acrylic acid derivative-containing product
2-ethylhexyl acrylate,1432294,Acrylates
2-ethylhexyl stearate,1368886,Stearates
2-hydroxydecanoate,1486028,Decanoates
2-hydroxyethyl acrylate,1314328,Acrylic acid and/or acrylic acid derivative-containing product
2-hydroxyethyl acrylate,1314328,Acrylates
2-hydroxyethyl methacrylate,1362692,Acrylic acid and/or acrylic acid derivative-containing product
2-hydroxyethyl methacrylate,1362692,Methacrylates
2-hydroxypropyl methacrylate,2204914,Acrylic acid and/or acrylic acid derivative-containing product
2-hydroxypropyl methacrylate,2204914,Methacrylates
2-ketogluconate,1869045,Gluconates
2-mercaptobenzothiazole,1358845,Sulfur and/or sulfur compound-containing product
2-mercaptobenzothiazole,1358845,Polymer-containing product
2-mercaptobenzothiazole,1358845,Allergens
2-mercaptobenzothiazole,1358845,Benzothiazoles
2-mercaptobenzothiazole,1358845,Increased Histamine Release
2-mercaptobenzothiazole,1358845,Cell-mediated Immunity
2-mercaptobenzothiazole,1358845,Standardized Chemical Allergen
2-mercaptoethanesulfonic acid,1546354,Mesna
2-mercaptoethanesulfonic acid,1546354,Cytoprotective Agent
2-methacryloyloxyethyl phosphorylcholine,2584546,Methacrylates
2-methacryloyloxyethyl phosphorylcholine,2584546,Phosphorylcholine
2-methoxy-1-propanol,2380833,Propylene Glycols
2-methyl-4-isothiazolin-3-one,1367166,Thiazoles
2-methyl-4-phenyl-2-butanol,2289004,Butanols
2-methylbutyric acid,2281310,Butyrates
2-n-octyl-4-isothiazolin-3-one,1362738,Sulfur and/or sulfur compound-containing product
2-n-octyl-4-isothiazolin-3-one,1362738,Thiazoles
2-naphthalenesulfonate,1366947,Naphthalenesulfonates
2-nitropropane,2372437,Nitroparaffins
2-nitropropane,2372437,Propane
2-octanol,1362615,Octanols
2-octyl cyanoacrylate,2533837,Acrylic acid and/or acrylic acid derivative-containing product
2-octyl cyanoacrylate,2533837,Cyanoacrylates
2-phenylphenol,236677,Phenol structure-containing product
