,Brand Name,RXCUI
0,Makena,1087965
1,Azedra,2053287
2,Potaba,8587
3,SwineAid,905470
4,Cresylate,583262
5,Somnicin,1293415
6,Amicar,204292
7,Carni Q-Gel Forte,1088444
8,Triumeq,1546889
9,Ziagen,221017
10,Trizivir,284904
11,Epzicom,497184
12,Tymlos,1921077
13,Xeglyze,2475537
14,Orencia,616011
15,Verzenio,1946831
16,Zytiga,1100076
17,Yonsa,2046580
18,Akeega,2645245
19,Abirtega,2702595
20,Cibinqo,2591482
21,Calquence,1986814
22,Precose,151826
23,Quadracel,1607804
24,Vaxelis,2109616
25,Infanrix,224903
26,Daptacel,352572
27,PEDIARIX,352877
28,Boostrix,583411
29,Adacel,605718
30,Pentacel,674453
31,Kinrix,801721
32,Symvess,2700347
33,PROMACE,1114061
34,Little Fevers,1013857
35,Bactimicina,1038776
36,Ofirmev,1041527
37,Pamprin Max Formula,1052413
38,Pamprin Multi-Symptom,1052436
39,Pamprin Cramp Formula,1052442
40,Percogesic Reformulated Jan 2011,1052463
41,Premsyn PMS,1052638
42,Panadol PM,1094715
43,Capacet,1100904
44,Nortemp,1101342
45,Acetadryl,1116529
46,Ringl,1235457
47,Pharbetol,1293937
48,Arthriten Inflammatory Pain,1303154
49,Backaid,1356075
50,Cetafen,1358830
51,Exaprin,1358848
52,Backaid IPF,1361397
53,Lortab,144254
54,Primlev,1537111
55,Verdrocet,1542976
56,Excedrin Mild Headache,1591929
57,Excedrin PM Triple Action,1593111
58,Ninjacof A,1593766
59,Vanatol,1648579
60,Fioricet,175184
61,Sed-Max,1866138
62,Panadol Extra,1872070
63,Arthriten Max,1944108
64,Apadaz,2001359
65,Panadol,202432
66,Tylenol,202433
67,Nalocet,2045495
68,Dvorah,2105924
69,Anacin AF,215257
70,Bupap,215777
71,Endocet,216903
72,Esgic,216971
73,Excedrin,217020
74,Excedrin PM,217025
75,Feverall,217115
76,Fioricet with Codeine,217126
77,Legatrin PM,217990
78,Mapap,218205
79,Marten-Tab,218227
80,Norco,218772
81,Redutemp,219598
82,Repan,219624
83,Saleto,219779
84,Tempra Quicklets,220207
85,Tencon,220211
86,Tycolene,220562
87,Tylenol PM,220581
88,Tylenol with Codeine,220586
89,Unisom with Pain Relief,220674
90,Vanquish,220751
91,Zebutal,221003
92,Acephen,225064
93,Vtol,2261398
94,Allzital,2279002
95,Prolate,2279505
96,Combogesic,2673876
97,Contragesic,352553
98,Relagesic,352946
99,Ultracet,353062
100,Excedrin Tension Headache,405058
101,Percocet,42844
102,Lorcet,491666
103,Frenadol,540431
104,Dologesic,540465
105,Hycet,542941
106,Anabar,545880
107,Ed Flex,545890
108,By Ache,629024
109,Excedrin Quick Tab,702612
110,Comtrex Sore Throat Relief,707319
111,Excedrin Back & Body,707765
112,Anacin Advanced Headache Formula,721973
113,Trezix,746611
114,Tactinal,798923
115,Zamicet,804747
116,Backprin,884767
117,Mal-A-Ket,1439949
118,Fem pH,405069
119,Relagard,405298
120,Lithostat,52110
121,Miochol,81941
122,Acetadote,404825
123,Soriatane,196467
124,Tudorza,1303103
125,Duaklir,2205095
126,Attruby,2698319
127,Blu-Kote,1426269
128,Actidose,1251406
129,Insta-Char,217743
130,Char-Flo,352520
131,CharcoCaps,92128
132,Sitavig,1493270
133,Zovirax,152535
134,Xerese,998423
135,Krazati,2625918
136,Amjevita,2627713
137,Yuflyma,2639653
138,Hadlima,2640296
139,Yusimry,2640391
140,Hulio,2640406
141,Idacio,2640853
142,Cyltezo,2640885
143,Hyrimoz,2641646
144,Abrilada,2668066
145,Simlandi,2677782
146,Humira,353484
147,Adzynma,2670294
148,Differin,153184
149,Cabtreo,2668199
150,Epiduo,830645
151,Hepsera,342285
152,Adenoscan,215025
153,Adenocard,258345
154,Aduhelm,2557225
155,Scenesse,2262255
156,Tecelra,2690271
157,Gilotrif,1430268
158,Eylea,1232155
159,Zaltrap,1304480
160,Pavblu,2696262
161,NexGard,1442100
162,NexGard Plus,2642685
163,Fabrazyme,338818
164,CroFab,343044
165,Freamine III 10,1014428
166,Clinimix E 4.25/10,1090636
167,"Aminosyn 7 % with Electrolytes, Sulfite-Free",1189256
168,"Aminosyn II 8.5 % with Electrolytes, Sulfite-Free",1189304
169,"Aminosyn 8.5 % with Electrolytes, Sulfite-Free",1189607
170,Trophamine 10 %,1189636
171,Trophamine 6 %,1189641
172,Plenamine,1601978
173,Prosol,581255
174,PremaSol,606589
175,Aminosyn II 15%,800189
176,"Aminosyn II 7 %, Sulfite-Free",800210
177,"Aminosyn II 8.5 %, Sulfite-Free",800217
178,Aminosyn II 10 %,800238
179,"Aminosyn-HBC 7 %, Sulfite-Free",800270
180,"Aminosyn-PF 10 %, Sulfite-Free",800342
181,Clinimix E 4.25/5,800377
182,Clinimix 2.75/5,800397
183,Clinimix 4.25/10,800402
184,Clinimix 4.25/5,800417
185,Clinimix 5/15,800435
186,Clinimix 5/20,800441
187,Clinimix E 2.75/5,800459
188,Clinimix E 5/15,800488
189,Clinimix E 5/20,800501
190,Clinimix E 5/25,800506
191,Clinisol 15,800585
192,Hepatamine 8,800930
193,ProcalAmine 3,801414
194,Travasol 10,801645
195,"Aminosyn 10%, Sulfite-Free",830652
196,"Aminosyn 8.5%, Sulfite-Free",830681
197,Aminosyn-PF 7%,831427
198,"Aminosyn 3.5 % M, Sulfite Free",847782
199,Valbazen,1006814
200,Albenza,151717
201,Tanzeum,1534801
202,Kedbumin,1115485
203,Albuked,1117552
204,Albuminar,151313
205,Albutein,151314
206,Albuminex,2054160
207,Alburx,404834
208,Plasbumin,545405
209,Human Albumin Grifols,603571
210,Flexbumin,617587
211,Combivent,151539
212,Proventil,202908
213,Airsupra,2665908
214,ProAir,647295
215,Ventolin,8887
216,Lastacaft,1000086
217,Aclovate,214979
218,Proleukin,203760
219,Alecensa,1727480
220,Lemtrada,1594659
221,Campath,284679
222,Fosamax,114265
223,Binosto,1248078
224,Fosamax Plus D,607553
225,Alfaxan,2049374
226,Alfenta,479
227,UroXatral,356728
228,Lumizyme,993069
229,Praluent,1659157
230,Tekturna HCT,1430137
231,Tekturna,700402
232,Panretin,219098
233,Chamois Glide,1044958
234,Anbesol Cold Sore Therapy,1052617
235,Blister Armour,1145957
236,Shing-Releev,1251487
237,Mederma Advanced Scar,1442088
238,Mederma for Kids,2282011
239,Stratagraft,2626476
240,Rethymic,2626465
241,Duzallo,1944780
242,Zyloprim,203600
243,Aloprim,261446
244,Alcortin A,1191043
245,Quinja,1928871
246,Nesina,1368007
247,Kazano,1372692
248,Oseni,1372717
249,Lotronex,261563
250,Piqray,2169302
251,Vijoice,2598454
252,Prolastin,204213
253,Zemaira,405405
254,Aralast,542373
255,Glassia,997779
256,Hydrasyn25,1428954
258,Infuvite,1304560
259,Infuvite Pediatric,1305218
260,Vital E- A + D3,1716027
261,Vital E- Repro,1716032
262,Vital E- Newborn,1716038
263,Vital E- 500,1716046
264,Natelle,352790
265,Gas-X Prevention,1011084
266,Beano Dairy Defense,1494185
267,Beano,287534
268,Xanax,202363
269,Prostin VR,152263
270,Edex,153020
271,Caverject,477639
272,Muse,844227
273,Activase,204210
274,Matrix,1667643
275,Regu-Mate,1667649
276,ChronoMate,1735687
277,Altren,1940626
278,Swinemate,1941451
279,Ovamed,2673850
280,Tricalm,1594643
281,Dermeleve,2603405
282,Lumicain,486103
283,Hypercare,605659
284,Hemox A,672190
285,Drysol,92529
286,Xerac AC,94611
287,Milantex,1040045
288,Gaviscon Chewable,1372739
289,Derma Gran,1441549
290,Maalox Plus,152000
291,Almacone,215155
292,Mintox Plus,218395
293,Gaviscon,25655
294,Gelusil,25689
295,Acid Gone,352396
296,Maalox Max,405186
297,Comfort Gel,643493
298,Inon Ace Tablet,1235451
299,Inon Ace Solution,1246298
300,Domeboro,1293264
301,Entereg,482748
302,Gocovri,1944371
303,Osmolex,2044715
304,Letairis,722117
305,Odactra,1998625
306,Firdapse,2107513
307,Ethyol,151722
308,Arikayce,2059185
309,Midamor,6958
310,Levulan,469967
311,Ameluz,1806646
312,Paser D/R,219113
313,Cordarone,203588
314,Pacerone,219038
315,Nexterone,832067
316,Barhemsys,2284233
317,Elavil,42940
318,Rybrevant,2549735
319,Tribenzor,1372732
